Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
AKAZE,95.3852,166,AKAZE,59.2349,AKAZE,73.5923,157,AKAZE,59.2789,MAT_BF,SEL_NN,0.533879,166
AKAZE,71.6734,161,AKAZE,60.3325,MAT_BF,SEL_NN,0.537386,157
AKAZE,70.6029,155,AKAZE,60.0463,MAT_BF,SEL_NN,0.52194,161
AKAZE,75.0784,163,AKAZE,59.5924,MAT_BF,SEL_NN,0.502017,155
AKAZE,70.875,164,AKAZE,59.7986,MAT_BF,SEL_NN,0.505162,163
AKAZE,72.497,173,AKAZE,58.7993,MAT_BF,SEL_NN,0.529126,164
AKAZE,72.5695,175,AKAZE,59.6336,MAT_BF,SEL_NN,0.58243,173
AKAZE,71.4479,177,AKAZE,61.2536,MAT_BF,SEL_NN,0.555572,175
AKAZE,78.1508,179,AKAZE,62.5578,MAT_BF,SEL_NN,0.890166,177
AKAZE,89.1704,166,AKAZE,60.1077,AKAZE,69.6243,157,AKAZE,59.9208,MAT_FLANN,SEL_NN,2.58519,166
AKAZE,70.1577,161,AKAZE,59.2549,MAT_FLANN,SEL_NN,2.17521,156
AKAZE,67.2834,155,AKAZE,60.0008,MAT_FLANN,SEL_NN,2.41252,161
AKAZE,70.3766,163,AKAZE,58.9115,MAT_FLANN,SEL_NN,2.16279,155
AKAZE,71.2602,164,AKAZE,61.8684,MAT_FLANN,SEL_NN,2.19914,163
AKAZE,73.4917,173,AKAZE,59.9831,MAT_FLANN,SEL_NN,2.42976,164
AKAZE,69.9954,175,AKAZE,60.3443,MAT_FLANN,SEL_NN,2.36661,171
AKAZE,71.2721,177,AKAZE,61.3536,MAT_FLANN,SEL_NN,2.4271,173
AKAZE,69.0044,179,AKAZE,61.191,MAT_FLANN,SEL_NN,2.44349,177
SIFT,262.876,138,SIFT,88.6436,SIFT,96.9408,132,SIFT,76.7898,MAT_FLANN,SEL_NN,1.88153,138
SIFT,96.2861,124,SIFT,75.5424,MAT_FLANN,SEL_NN,1.66978,132
SIFT,96.0259,137,SIFT,76.6583,MAT_FLANN,SEL_NN,1.70906,124
SIFT,96.4791,134,SIFT,80.1409,MAT_FLANN,SEL_NN,1.76006,137
SIFT,98.2324,140,SIFT,75.6967,MAT_FLANN,SEL_NN,1.77226,134
SIFT,98.2519,137,SIFT,75.0699,MAT_FLANN,SEL_NN,1.80028,140
SIFT,97.5096,148,SIFT,75.0979,MAT_FLANN,SEL_NN,1.81693,137
SIFT,98.511,159,SIFT,75.6456,MAT_FLANN,SEL_NN,1.94336,148
SIFT,103.939,137,SIFT,75.4901,MAT_FLANN,SEL_NN,1.95011,159
SIFT,133.674,138,SIFT,88.6568,SIFT,96.726,132,SIFT,76.2694,MAT_BF,SEL_NN,0.546081,138
SIFT,97.857,124,SIFT,76.5208,MAT_BF,SEL_NN,0.483397,132
SIFT,96.4342,137,SIFT,76.549,MAT_BF,SEL_NN,0.489651,124
SIFT,96.0841,134,SIFT,75.4122,MAT_BF,SEL_NN,0.520489,137
SIFT,94.739,140,SIFT,75.1402,MAT_BF,SEL_NN,0.516921,134
SIFT,96.7947,137,SIFT,75.6626,MAT_BF,SEL_NN,0.51344,140
SIFT,96.4809,148,SIFT,74.4108,MAT_BF,SEL_NN,0.544694,137
SIFT,95.3766,159,SIFT,75.3749,MAT_BF,SEL_NN,0.596318,148
SIFT,100.653,137,SIFT,75.9282,MAT_BF,SEL_NN,0.574273,159
SIFT,127.931,138,SIFT,89.3445,SIFT,96.1602,132,SIFT,76.234,MAT_BF,SEL_KNN,0.584731,82
SIFT,96.3284,124,SIFT,76.1734,MAT_BF,SEL_KNN,0.520325,81
SIFT,96.4195,137,SIFT,77.2818,MAT_BF,SEL_KNN,0.554092,85
SIFT,95.8226,134,SIFT,75.7146,MAT_BF,SEL_KNN,0.552231,93
SIFT,96.7302,140,SIFT,74.9507,MAT_BF,SEL_KNN,0.556004,90
SIFT,95.2406,137,SIFT,76.3007,MAT_BF,SEL_KNN,0.589559,81
SIFT,95.9751,148,SIFT,74.6467,MAT_BF,SEL_KNN,0.561258,82
SIFT,95.6249,159,SIFT,74.6207,MAT_BF,SEL_KNN,0.648113,102
SIFT,95.3999,137,SIFT,74.4968,MAT_BF,SEL_KNN,0.60265,104
SIFT,128.146,138,SIFT,88.913,SIFT,96.5681,132,SIFT,77.1853,MAT_FLANN,SEL_KNN,2.08213,82
SIFT,96.058,124,SIFT,84.5163,MAT_FLANN,SEL_KNN,1.87638,82
SIFT,111.228,137,SIFT,79.7942,MAT_FLANN,SEL_KNN,1.85304,85
SIFT,95.1728,134,SIFT,76.2778,MAT_FLANN,SEL_KNN,1.9701,94
SIFT,100.443,140,SIFT,77.2242,MAT_FLANN,SEL_KNN,1.97306,89
SIFT,97.5824,137,SIFT,85.5722,MAT_FLANN,SEL_KNN,2.10018,81
SIFT,106.867,148,SIFT,80.4389,MAT_FLANN,SEL_KNN,2.00341,82
SIFT,107.981,159,SIFT,75.3267,MAT_FLANN,SEL_KNN,2.20194,103
SIFT,102.684,137,SIFT,83.565,MAT_FLANN,SEL_KNN,2.25857,105
SIFT,130.05,138,BRISK,288.405,SIFT,109.934,132,BRISK,273.776,MAT_FLANN,SEL_NN,1.9264,136
SIFT,98.9787,124,BRISK,274.231,MAT_FLANN,SEL_NN,1.77147,132
SIFT,109.772,137,BRISK,274.067,MAT_FLANN,SEL_NN,1.74857,119
SIFT,138.188,134,BRISK,283.877,MAT_FLANN,SEL_NN,2.15852,136
SIFT,112.568,140,BRISK,276.672,MAT_FLANN,SEL_NN,2.01365,134
SIFT,112.602,137,BRISK,280.948,MAT_FLANN,SEL_NN,1.89227,136
SIFT,112.249,148,BRISK,276.837,MAT_FLANN,SEL_NN,1.8636,135
SIFT,110.036,159,BRISK,276.972,MAT_FLANN,SEL_NN,2.31779,144
SIFT,119.234,137,BRISK,275.606,MAT_FLANN,SEL_NN,1.98687,157
SIFT,138.11,138,BRIEF,0.776852,SIFT,110.823,132,BRIEF,0.670584,MAT_FLANN,SEL_NN,1.79102,137
SIFT,115.404,124,BRIEF,0.652593,MAT_FLANN,SEL_NN,1.75865,130
SIFT,110.662,137,BRIEF,0.690505,MAT_FLANN,SEL_NN,1.6787,124
SIFT,109.812,134,BRIEF,0.678701,MAT_FLANN,SEL_NN,1.7626,137
SIFT,109.979,140,BRIEF,0.696611,MAT_FLANN,SEL_NN,1.72053,134
SIFT,108.773,137,BRIEF,0.685216,MAT_FLANN,SEL_NN,1.66478,140
SIFT,110.656,148,BRIEF,0.719065,MAT_FLANN,SEL_NN,2.03588,137
SIFT,112.416,159,BRIEF,0.750078,MAT_FLANN,SEL_NN,2.04417,147
SIFT,113.255,137,BRIEF,0.698739,MAT_FLANN,SEL_NN,2.05683,157
SIFT,125.84,138,FREAK,38.8141,SIFT,110.638,132,FREAK,37.5282,MAT_BF,SEL_NN,0.504977,137
SIFT,110.217,124,FREAK,37.0154,MAT_BF,SEL_NN,0.421079,131
SIFT,108.334,137,FREAK,37.0929,MAT_BF,SEL_NN,0.40776,123
SIFT,109.786,134,FREAK,37.1579,MAT_BF,SEL_NN,0.444753,136
SIFT,112.406,140,FREAK,36.9476,MAT_BF,SEL_NN,0.5241,133
SIFT,111.071,137,FREAK,37.1318,MAT_BF,SEL_NN,0.440637,139
SIFT,111.101,148,FREAK,37.1729,MAT_BF,SEL_NN,0.561019,135
SIFT,108.802,159,FREAK,37.2247,MAT_BF,SEL_NN,0.489881,147
SIFT,110.455,137,FREAK,37.1348,MAT_BF,SEL_NN,0.478277,158
