Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
SHITOMASI,14.3804,123,ORB,1.3483,MAT_BF,SEL_KNN,0.247792,98
SHITOMASI,13.974,111,ORB,1.29771,MAT_BF,SEL_KNN,0.280486,104
SHITOMASI,13.9981,112,ORB,1.2593,MAT_BF,SEL_KNN,0.239981,97
SHITOMASI,15.0398,125,FREAK,40.3056,SHITOMASI,13.2759,118,FREAK,37.2759,MAT_BF,SEL_KNN,0.578782,86
SHITOMASI,10.1695,123,FREAK,37.7567,MAT_BF,SEL_KNN,0.286084,90
SHITOMASI,11.8771,120,FREAK,37.9809,MAT_BF,SEL_KNN,0.290884,86
SHITOMASI,11.1391,120,FREAK,37.6604,MAT_BF,SEL_KNN,0.289252,88
SHITOMASI,9.79159,113,FREAK,37.7809,MAT_BF,SEL_KNN,0.329182,86
SHITOMASI,11.775,114,FREAK,38.0116,MAT_BF,SEL_KNN,0.26437,80
SHITOMASI,11.5894,123,FREAK,37.8648,MAT_BF,SEL_KNN,0.299488,81
SHITOMASI,10.3449,111,FREAK,38.441,MAT_BF,SEL_KNN,0.282369,86
SHITOMASI,10.6616,112,FREAK,37.5036,MAT_BF,SEL_KNN,0.259224,85
SHITOMASI,16.7219,125,SIFT,20.9821,SHITOMASI,11.448,118,SIFT,18.3398,MAT_BF,SEL_KNN,0.798388,112
SHITOMASI,11.8178,123,SIFT,17.7547,MAT_BF,SEL_KNN,0.339376,109
SHITOMASI,11.2038,120,SIFT,18.3782,MAT_BF,SEL_KNN,0.703935,104
SHITOMASI,11.1274,120,SIFT,17.6418,MAT_BF,SEL_KNN,0.354316,103
SHITOMASI,14.6576,113,SIFT,21.0273,MAT_BF,SEL_KNN,0.534419,99
SHITOMASI,14.6613,114,SIFT,21.4495,MAT_BF,SEL_KNN,0.353276,101
SHITOMASI,13.8853,123,SIFT,20.8761,MAT_BF,SEL_KNN,0.555472,96
SHITOMASI,11.9173,111,SIFT,18.6091,MAT_BF,SEL_KNN,0.626262,106
SHITOMASI,16.0159,112,SIFT,20.9004,MAT_BF,SEL_KNN,0.302152,97
SHITOMASI,15.5452,125,SIFT,20.5917,SHITOMASI,11.6175,118,SIFT,17.4699,MAT_FLANN,SEL_KNN,1.91394,112
SHITOMASI,11.6073,123,SIFT,16.5554,MAT_FLANN,SEL_KNN,1.79637,108
SHITOMASI,11.001,120,SIFT,16.8496,MAT_FLANN,SEL_KNN,1.78979,104
SHITOMASI,11.1017,120,SIFT,18.544,MAT_FLANN,SEL_KNN,1.82752,103
SHITOMASI,15.0146,113,SIFT,21.0577,MAT_FLANN,SEL_KNN,1.77604,99
SHITOMASI,14.935,114,SIFT,23.6864,MAT_FLANN,SEL_KNN,1.642,101
SHITOMASI,14.7343,123,SIFT,20.7817,MAT_FLANN,SEL_KNN,1.79476,96
SHITOMASI,17.7003,111,SIFT,22.2675,MAT_FLANN,SEL_KNN,1.73515,106
SHITOMASI,14.3855,112,SIFT,22.4796,MAT_FLANN,SEL_KNN,1.64042,97
SHITOMASI,14.3981,125,FREAK,39.916,SHITOMASI,12.3642,118,FREAK,37.8399,MAT_FLANN,SEL_KNN,2.27297,85
SHITOMASI,10.8346,123,FREAK,38.3071,MAT_FLANN,SEL_KNN,2.32228,89
SHITOMASI,11.0102,120,FREAK,38.0172,MAT_FLANN,SEL_KNN,1.83601,86
SHITOMASI,11.9364,120,FREAK,39.6792,MAT_FLANN,SEL_KNN,1.95494,89
SHITOMASI,10.0166,113,FREAK,37.6704,MAT_FLANN,SEL_KNN,2.10721,84
SHITOMASI,9.90455,114,FREAK,37.6779,MAT_FLANN,SEL_KNN,2.15882,82
SHITOMASI,12.3341,123,FREAK,37.8718,MAT_FLANN,SEL_KNN,2.15099,80
SHITOMASI,11.0572,111,FREAK,38.1325,MAT_FLANN,SEL_KNN,2.41407,87
SHITOMASI,12.287,112,FREAK,37.9604,MAT_FLANN,SEL_KNN,1.70859,85
SHITOMASI,14.2635,125,ORB,1.69785,SHITOMASI,15.0401,118,ORB,1.45121,MAT_FLANN,SEL_KNN,2.89932,98
SHITOMASI,15.076,123,ORB,1.11359,MAT_FLANN,SEL_KNN,1.77351,94
SHITOMASI,14.5383,120,ORB,1.12427,MAT_FLANN,SEL_KNN,2.01342,93
SHITOMASI,13.9315,120,ORB,1.22755,MAT_FLANN,SEL_KNN,3.14496,96
SHITOMASI,14.4899,113,ORB,1.27719,MAT_FLANN,SEL_KNN,2.20335,100
SHITOMASI,14.266,114,ORB,1.20751,MAT_FLANN,SEL_KNN,1.81523,91
SHITOMASI,24.8299,123,ORB,1.28287,MAT_FLANN,SEL_KNN,1.74823,95
SHITOMASI,14.1883,111,ORB,1.67901,MAT_FLANN,SEL_KNN,1.83881,99
SHITOMASI,14.6386,112,ORB,1.39884,MAT_FLANN,SEL_KNN,2.56953,83
SHITOMASI,16.1709,125,BRIEF,0.755422,SHITOMASI,14.9553,118,BRIEF,1.19349,MAT_FLANN,SEL_KNN,3.01892,111
SHITOMASI,16.1026,123,BRIEF,1.11036,MAT_FLANN,SEL_KNN,1.88518,110
SHITOMASI,14.4668,120,BRIEF,1.49328,MAT_FLANN,SEL_KNN,2.08572,104
SHITOMASI,24.9113,120,BRIEF,1.07466,MAT_FLANN,SEL_KNN,1.68153,99
SHITOMASI,14.4765,113,BRIEF,1.10951,MAT_FLANN,SEL_KNN,2.89724,103
SHITOMASI,14.1047,114,BRIEF,1.09203,MAT_FLANN,SEL_KNN,1.58395,98
SHITOMASI,14.9264,123,BRIEF,1.43471,MAT_FLANN,SEL_KNN,1.96329,98
SHITOMASI,14.2309,111,BRIEF,1.08864,MAT_FLANN,SEL_KNN,1.71048,104
SHITOMASI,13.9646,112,BRIEF,1.35185,MAT_FLANN,SEL_KNN,2.17275,97
SHITOMASI,15.0455,125,BRISK,303.768,SHITOMASI,15.0484,118,BRISK,291.459,MAT_FLANN,SEL_KNN,2.14978,94
SHITOMASI,13.8364,123,BRISK,291.9,MAT_FLANN,SEL_KNN,2.0158,85
SHITOMASI,13.5054,120,BRISK,292.802,MAT_FLANN,SEL_KNN,1.99314,83
SHITOMASI,14.0023,120,BRISK,291.647,MAT_FLANN,SEL_KNN,2.02877,84
SHITOMASI,18.9704,113,BRISK,291.515,MAT_FLANN,SEL_KNN,1.77677,82
SHITOMASI,14.0734,114,BRISK,292.039,MAT_FLANN,SEL_KNN,1.83385,77
SHITOMASI,12.8128,123,BRISK,291.384,MAT_FLANN,SEL_KNN,1.94061,86
SHITOMASI,14.3957,111,BRISK,290.939,MAT_FLANN,SEL_KNN,1.95025,89
SHITOMASI,14.1381,112,BRISK,298.07,MAT_FLANN,SEL_KNN,1.78473,73
HARIS,16.5388,17,BRISK,299.845,HARIS,14.7128,14,BRISK,290.369,MAT_FLANN,SEL_KNN,0.597305,4
HARIS,15.4589,19,BRISK,287.747,MAT_FLANN,SEL_KNN,0.513269,6
HARIS,14.5395,22,BRISK,289.369,MAT_FLANN,SEL_KNN,0.592673,7
HARIS,15.0051,26,BRISK,289.172,MAT_FLANN,SEL_KNN,0.609485,15
HARIS,29.5696,47,BRISK,290.881,MAT_FLANN,SEL_KNN,0.716242,15
HARIS,13.8941,18,BRISK,294.958,MAT_FLANN,SEL_KNN,0.785068,14
HARIS,15.8884,33,BRISK,291.415,MAT_FLANN,SEL_KNN,0.604329,13
HARIS,15.1206,27,BRISK,291.007,MAT_FLANN,SEL_KNN,0.740557,20
HARIS,18.0309,35,BRISK,289.071,MAT_FLANN,SEL_KNN,0.70623,15
HARIS,17.3889,17,BRIEF,0.392269,HARIS,16.144,14,BRIEF,0.790769,MAT_FLANN,SEL_KNN,0.532569,9
HARIS,15.4464,19,BRIEF,0.855801,MAT_FLANN,SEL_KNN,0.481486,7
HARIS,15.4791,22,BRIEF,0.830101,MAT_FLANN,SEL_KNN,0.570988,11
HARIS,15.4855,26,BRIEF,0.827252,MAT_FLANN,SEL_KNN,0.532849,16
HARIS,28.6489,47,BRIEF,0.468019,MAT_FLANN,SEL_KNN,0.602361,22
HARIS,14.6608,18,BRIEF,0.847854,MAT_FLANN,SEL_KNN,0.817849,20
HARIS,16.4232,33,BRIEF,1.00943,MAT_FLANN,SEL_KNN,0.959772,16
HARIS,14.811,27,BRIEF,0.401869,MAT_FLANN,SEL_KNN,0.648826,22
HARIS,30.1894,35,BRIEF,0.909003,MAT_FLANN,SEL_KNN,0.82929,21
HARIS,16.4437,17,ORB,1.12034,HARIS,15.2881,14,ORB,1.08664,MAT_FLANN,SEL_KNN,0.769224,10
HARIS,14.8846,19,ORB,1.13495,MAT_FLANN,SEL_KNN,0.51734,9
HARIS,26.0032,22,ORB,1.08942,MAT_FLANN,SEL_KNN,0.540433,12
HARIS,15.7089,26,ORB,1.24003,MAT_FLANN,SEL_KNN,0.657937,14
HARIS,27.9039,47,ORB,1.09618,MAT_FLANN,SEL_KNN,0.67692,20
HARIS,14.7957,18,ORB,1.03509,MAT_FLANN,SEL_KNN,0.833572,14
HARIS,17.0436,33,ORB,1.14961,MAT_FLANN,SEL_KNN,0.61542,13
HARIS,15.2263,27,ORB,1.21154,MAT_FLANN,SEL_KNN,0.725223,18
HARIS,19.3848,35,ORB,1.19159,MAT_FLANN,SEL_KNN,0.62048,18
HARIS,25.4399,17,FREAK,38.7091,HARIS,13.9215,14,FREAK,47.8993,MAT_FLANN,SEL_KNN,0.6431,12
HARIS,12.8909,19,FREAK,37.465,MAT_FLANN,SEL_KNN,0.756945,7
HARIS,10.7671,22,FREAK,37.1521,MAT_FLANN,SEL_KNN,0.577868,13
HARIS,13.5417,26,FREAK,37.0903,MAT_FLANN,SEL_KNN,0.597659,16
HARIS,25.4352,47,FREAK,37.3875,MAT_FLANN,SEL_KNN,1.02793,17
HARIS,11.0439,18,FREAK,36.5766,MAT_FLANN,SEL_KNN,0.786379,16
HARIS,12.2473,33,FREAK,36.9241,MAT_FLANN,SEL_KNN,0.568734,11
HARIS,11.161,27,FREAK,36.8829,MAT_FLANN,SEL_KNN,0.76016,17
HARIS,16.7815,35,FREAK,37.4425,MAT_FLANN,SEL_KNN,0.619127,17
HARIS,15.8337,17,SIFT,22.642,HARIS,28.2969,14,SIFT,20.2023,MAT_FLANN,SEL_KNN,0.284843,14
HARIS,16.0265,19,SIFT,22.5052,MAT_FLANN,SEL_KNN,0.222185,11
HARIS,15.7483,22,SIFT,21.7648,MAT_FLANN,SEL_KNN,0.344053,16
HARIS,15.9769,26,SIFT,20.24,MAT_FLANN,SEL_KNN,0.389365,20
HARIS,28.3691,47,SIFT,20.4059,MAT_FLANN,SEL_KNN,0.503395,21
HARIS,14.5142,18,SIFT,20.7597,MAT_FLANN,SEL_KNN,0.457,23
